Category,Sub_Category,Service_Description,Price
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Maquillaje de Cejas,500.00 
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Maquillaje Ni–as Peque–as (4-10),800.00 
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Maquillaje Ni–as Grandes 11-13 A–os,"1,500.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Maquillaje Caballeros,800.00 
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Maquillaje de Ojos Express (Delineado y Cejas),950.00 
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Maquillaje de Ojos Sencillo Sin Pesta–as,"1,200.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Maquillaje de Ojos con Pesta–as,"1,500.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Maquillaje Express,"1,500.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Maquillaje Soft,"2,000.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Maquillaje Glam,"2,500.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Maquillaje de Novia,"4,000.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Prueba de Maquillaje de Novia,"5,000.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Maquillaje Express by Paola Munoz,"2,500.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Maquillaje Soft by Paola Munoz,"3,000.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Maquillaje Glam by Paola Munoz,"3,500.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Maquillaje de Novia By Paola Munoz,"5,500.00 "
BEAUTY MAKEUP,MAQUILLAJE SOCIAL,Prueba de Maquillaje de Novia by PM,"6,000.00 "
BEAUTY MAKEUP,MAQUILLAJES DE FANTASIA,Belly Painting - Dise–o para las embarazadas,"1,000.00 "
BEAUTY MAKEUP,MAQUILLAJES DE FANTASIA,Maquillaje de Fantasia Elaborado,"4,500.00 "
BEAUTY MAKEUP,MAQUILLAJES DE FANTASIA,Maquillaje de Fantasia Sencillo,"3,500.00 "
BEAUTY MAKEUP,MAQUILLAJES DE FANTASIA,Glow Up Sencillo*,500.00 
BEAUTY MAKEUP,MAQUILLAJES DE FANTASIA,Glow Up Glam*,800.00 
BEAUTY MAKEUP,MAQUILLAJES DE FANTASIA,Glow Up Dram‡tico*,"1,000.00 "
BEAUTY MAKEUP,MAQUILLAJES DE FANTASIA,Maquillaje Sesion de Fotos Piel Blindada,"4,000.00 "
BEAUTY MAKEUP,MAQUILLAJES DE FANTASIA,Maquillaje Sesion de Fotos Piel Blindada by PM,"5,000.00 "
BEAUTY MAKEUP,MAQUILLAJES DE FANTASIA,"*Dise–o con Piedras, adicional al maquillaje elegido",0.00 
BEAUTY LASHES & BROWS,BROWS,Cejas Perfectas,"1,200.00 "
BEAUTY LASHES & BROWS,BROWS,Cejas Perfectas by PM,"2,000.00 "
BEAUTY LASHES & BROWS,BROWS,Brow Lamination,"2,500.00 "
BEAUTY LASHES & BROWS,BROWS,Brow Lamination by PM,"3,500.00 "
